day,t,agent_id,intention,helplessness_score,trust_in_apps,avoidance_tendency,negative_event_count,intercept_count,help_request_count,success_count,failure_count,status_json
1,21601.0,1,Relax the body and mind before sleeping,41.6805961758252,55.66921751922943,71.49048439285798,0,0,0,1,0,"{""stage"": ""baseline_low_friction:steady"", ""intention"": ""Relax the body and mind before sleeping"", ""helplessness_score"": 41.6805961758252, ""trust_in_apps"": 55.66921751922943, ""avoidance_tendency"": 71.49048439285798, ""negative_event_count"": 0, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 1, ""failure_count"": 0, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
1,21601.0,2,Prepare the kitchen for cooking,42.76366955576334,21.648440592315538,74.87174298781594,1,0,0,0,1,"{""stage"": ""baseline_low_friction:steady"", ""intention"": ""Prepare the kitchen for cooking"", ""helplessness_score"": 42.76366955576334, ""trust_in_apps"": 21.648440592315538, ""avoidance_tendency"": 74.87174298781594, ""negative_event_count"": 1, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 0, ""failure_count"": 1, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
1,21601.0,3,Monitor cooking process and adjust settings as needed,60.99163688842978,7.265010430408733,97.24992804930388,2,1,1,1,2,"{""stage"": ""baseline_low_friction:steady"", ""intention"": ""Monitor cooking process and adjust settings as needed"", ""helplessness_score"": 60.99163688842978, ""trust_in_apps"": 7.265010430408733, ""avoidance_tendency"": 97.24992804930388, ""negative_event_count"": 2, ""intercept_count"": 1, ""help_request_count"": 1, ""success_count"": 1, ""failure_count"": 2, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
1,21601.0,4,Adjust the room temperature if necessary,33.0,50.0,30.0,0,0,0,0,0,"{""stage"": ""baseline_low_friction:steady"", ""intention"": ""Adjust the room temperature if necessary"", ""helplessness_score"": 33.0, ""trust_in_apps"": 50.0, ""avoidance_tendency"": 30.0, ""negative_event_count"": 0, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 0, ""failure_count"": 0, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
1,21601.0,5,Prepare the ingredients for cooking,47.72191234840087,10.704116868798836,65.42259849320068,1,0,0,0,1,"{""stage"": ""baseline_low_friction:steady"", ""intention"": ""Prepare the ingredients for cooking"", ""helplessness_score"": 47.72191234840087, ""trust_in_apps"": 10.704116868798836, ""avoidance_tendency"": 65.42259849320068, ""negative_event_count"": 1, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 0, ""failure_count"": 1, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
1,21601.0,6,"Partake in a calming activity, such as reading, to relax further",30.506972257665133,67.89841123573083,31.018268832546802,1,0,0,1,1,"{""stage"": ""baseline_low_friction:steady"", ""intention"": ""Partake in a calming activity, such as reading, to relax further"", ""helplessness_score"": 30.506972257665133, ""trust_in_apps"": 67.89841123573083, ""avoidance_tendency"": 31.018268832546802, ""negative_event_count"": 1, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 1, ""failure_count"": 1, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
2,21601.0,1,Relax and unwind,49.93295384396125,18.996856442485264,76.41850040855026,1,0,0,0,1,"{""stage"": ""baseline_low_friction:shock"", ""intention"": ""Relax and unwind"", ""helplessness_score"": 49.93295384396125, ""trust_in_apps"": 18.996856442485264, ""avoidance_tendency"": 76.41850040855026, ""negative_event_count"": 1, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 0, ""failure_count"": 1, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
2,21601.0,2,Sit down and enjoy the meal,36.202445789154396,38.611606193674234,69.66900568963024,0,0,0,2,0,"{""stage"": ""baseline_low_friction:shock"", ""intention"": ""Sit down and enjoy the meal"", ""helplessness_score"": 36.202445789154396, ""trust_in_apps"": 38.611606193674234, ""avoidance_tendency"": 69.66900568963024, ""negative_event_count"": 0, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 2, ""failure_count"": 0, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
2,21601.0,3,Dim lights to create a sleep-friendly atmosphere,77.69283693108608,0.0,100.0,2,0,0,0,2,"{""stage"": ""baseline_low_friction:shock"", ""intention"": ""Dim lights to create a sleep-friendly atmosphere"", ""helplessness_score"": 77.69283693108608, ""trust_in_apps"": 0.0, ""avoidance_tendency"": 100.0, ""negative_event_count"": 2, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 0, ""failure_count"": 2, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
2,21601.0,4,Lie down in the bed,29.603670081731718,74.45768301772712,17.24048194140702,0,0,0,1,0,"{""stage"": ""baseline_low_friction:shock"", ""intention"": ""Lie down in the bed"", ""helplessness_score"": 29.603670081731718, ""trust_in_apps"": 74.45768301772712, ""avoidance_tendency"": 17.24048194140702, ""negative_event_count"": 0, ""intercept_count"": 0, ""help_request_count"": 0, ""success_count"": 1, ""failure_count"": 0, ""num_completed_trips"": 0, ""total_travel_distance"": 0.0, ""total_travel_time"": 0.0}"
