exp_id,step_abs,stage_index,decision_attempt_count_step,event_emitted_count_step,no_event_count_step
0e9eace8-abed-417a-af98-29344b8676af,23401,1,6,4,2
0e9eace8-abed-417a-af98-29344b8676af,25201,1,6,2,4
0e9eace8-abed-417a-af98-29344b8676af,27001,1,6,0,6
0e9eace8-abed-417a-af98-29344b8676af,28801,1,6,2,4
0e9eace8-abed-417a-af98-29344b8676af,30601,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,32401,1,2,1,1
0e9eace8-abed-417a-af98-29344b8676af,34201,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,36001,1,3,1,2
0e9eace8-abed-417a-af98-29344b8676af,37801,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,39601,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,41401,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,43201,1,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,45001,1,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,46801,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,48601,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,50401,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,52201,1,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,54001,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,55801,1,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,57601,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,59401,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,61201,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,63001,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,64801,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,66601,1,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,68401,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,70201,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,72001,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,73801,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,75601,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,77401,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,79201,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,81001,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,82801,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,84601,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,100001,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,101801,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,103601,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,105401,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,107201,1,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,109001,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,110801,1,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,112601,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,114401,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,116201,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,118001,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,119801,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,121601,1,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,123401,2,6,1,5
0e9eace8-abed-417a-af98-29344b8676af,125201,2,6,0,6
0e9eace8-abed-417a-af98-29344b8676af,127001,2,6,4,2
0e9eace8-abed-417a-af98-29344b8676af,128801,2,6,4,2
0e9eace8-abed-417a-af98-29344b8676af,130601,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,132401,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,134201,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,136001,2,2,1,1
0e9eace8-abed-417a-af98-29344b8676af,137801,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,139601,2,3,0,3
0e9eace8-abed-417a-af98-29344b8676af,141401,2,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,143201,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,145001,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,146801,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,148601,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,150401,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,152201,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,154001,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,155801,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,157601,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,159401,2,2,0,2
0e9eace8-abed-417a-af98-29344b8676af,161201,2,3,0,3
0e9eace8-abed-417a-af98-29344b8676af,163001,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,164801,2,2,1,1
0e9eace8-abed-417a-af98-29344b8676af,166601,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,168401,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,170201,2,1,1,0
0e9eace8-abed-417a-af98-29344b8676af,172001,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,173801,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,175601,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,177401,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,179201,2,0,0,0
0e9eace8-abed-417a-af98-29344b8676af,181001,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,182801,2,1,0,1
0e9eace8-abed-417a-af98-29344b8676af,184601,2,2,1,1
