world_name,day,group_id,config_fingerprint,utility_profile,row_count,policy_payload_count,control_payload_count,policy_payload_coverage,control_payload_coverage,uses_post_outcome_information_true_count,all_uses_post_outcome_information_false,strategy_changed_count,all_strategy_unchanged,ignored_post_outcome_fields_seen_count,mean_pi_attempt,mean_pi_help,mean_pi_avoid,mean_shadow_top_prob,actual_shadow_top_match_rate,c_hat_before_mean,c_hat_after_mean,c_hat_before_pi_avoid_corr,c_hat_after_pi_avoid_corr_post_update_audit,actual_attempt_share,shadow_top_attempt_share,mean_confidence_attempt,mean_entropy_attempt,actual_help_share,shadow_top_help_share,mean_confidence_help,mean_entropy_help,actual_avoid_share,shadow_top_avoid_share,mean_confidence_avoid,mean_entropy_avoid
baseline_low_friction,0,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,109,109,109,1.0,1.0,0,1,0,1,0,0.3347458843,0.3608918003,0.3043623155,0.3608918003,0.3577981651,0.4841929085,0.4742804543,-0.1234445859,-0.1075180675,0.4128440367,0.0,0.0,0.7655078683,0.3577981651,1.0,0.0,0.5707187719,0.2293577982,0.0,0.0348623853,0.226408135
baseline_low_friction,1,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,107,107,107,1.0,1.0,0,1,0,1,0,0.338697204,0.3672527149,0.294050081,0.3824128886,0.3831775701,0.4724198274,0.4345327713,-0.6063028504,-0.5365114474,0.4485981308,0.3271028037,0.0672897196,0.7566820695,0.3551401869,0.6728971963,0.0598130841,0.5586815667,0.1962616822,0.0,0.0641744548,0.2132735142
baseline_low_friction,2,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,120,120,120,1.0,1.0,0,1,0,1,0,0.3381189181,0.3696282363,0.2922528456,0.3857771048,0.35,0.446525508,0.4324028127,-0.5806047796,-0.4725621518,0.4166666667,0.2916666667,0.1066666667,0.7519335795,0.2916666667,0.7083333333,0.0861111111,0.5540316011,0.2916666667,0.0,0.0993650794,0.198053555
baseline_low_friction,3,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,112,112,112,1.0,1.0,0,1,0,1,0,0.3346666902,0.3705432048,0.294790105,0.3825887238,0.3839285714,0.4423074953,0.423987594,-0.6669400729,-0.5509769001,0.3214285714,0.2321428571,0.1089285714,0.7510659997,0.4285714286,0.7321428571,0.0726190476,0.5553065527,0.25,0.0357142857,0.0892857143,0.201858902
baseline_low_friction,4,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,113,113,113,1.0,1.0,0,1,0,1,0,0.3320176398,0.3839748971,0.284007463,0.4004992056,0.4247787611,0.4535680279,0.4308373689,-0.6697448113,-0.6197625541,0.3185840708,0.3362831858,0.1132743363,0.7501997121,0.4601769912,0.6637168142,0.1238938053,0.5467189235,0.2212389381,0.0,0.1118836915,0.1943090338
baseline_low_friction,5,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,115,115,115,1.0,1.0,0,1,0,1,0,0.3332980591,0.384832394,0.2818695468,0.4058773838,0.3739130435,0.4325255417,0.4117617528,-0.7562708126,-0.7093738351,0.2434782609,0.3565217391,0.1727536232,0.7423166398,0.4434782609,0.6,0.1756521739,0.5341846519,0.3130434783,0.0434782609,0.1293581781,0.1871734426
baseline_low_friction,6,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,117,117,117,1.0,1.0,0,1,0,1,0,0.3399131956,0.386188844,0.2738979604,0.4131587118,0.4102564103,0.4202240847,0.408679179,-0.7695609258,-0.7502298503,0.3076923077,0.4273504274,0.2343508344,0.7331753915,0.358974359,0.5213675214,0.2513634514,0.5234166681,0.3333333333,0.0512820513,0.1930809931,0.161441568
baseline_low_friction,7,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,116,116,116,1.0,1.0,0,1,0,1,0,0.3341400524,0.3909617562,0.2748981914,0.4113124084,0.3793103448,0.3929324917,0.3819573134,-0.8367748684,-0.8071668526,0.2672413793,0.2931034483,0.2715106732,0.7286501025,0.4224137931,0.6120689655,0.2814449918,0.5177091002,0.3103448276,0.0948275862,0.2439792009,0.1430891154
baseline_low_friction,8,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,130,130,130,1.0,1.0,0,1,0,1,0,0.3352636716,0.3942088328,0.2705274955,0.4168444381,0.3846153846,0.3929641881,0.3791848708,-0.8171868802,-0.7736797522,0.2,0.2538461538,0.2823443223,0.725009234,0.3538461538,0.7076923077,0.2924786325,0.5135236891,0.4461538462,0.0384615385,0.2713186813,0.135273448
baseline_low_friction,9,exp_20260512_policy_lite_theory_v2_shadow_10d_60min,032ad5d35b87124b,theory_v2,120,120,120,1.0,1.0,0,1,0,1,0,0.323071203,0.4025942463,0.2743345507,0.4192043622,0.4083333333,0.3681293196,0.3546778925,-0.7468198266,-0.7399674013,0.2333333333,0.2666666667,0.2468783069,0.7301864136,0.4083333333,0.6916666667,0.3161507937,0.5097550876,0.3583333333,0.0416666667,0.271996152,0.137039851
