category	slug	status	pdf_path	metadata_path	pdf_url	page_url
older_adults	older-digital-technology-experiences	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-technology-experiences.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-technology-experiences.txt		https://bmcdigitalhealth.biomedcentral.com/articles/10.1186/s44247-025-00163-7
older_adults	older-web-based-services	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-web-based-services.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-web-based-services.txt		https://aging.jmir.org/2024/1/e46522
older_adults	older-tablet-focus-group	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-tablet-focus-group.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-tablet-focus-group.txt	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2017.01687/pdf	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2017.01687/full
older_adults	older-alexa-exercise	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-alexa-exercise.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-alexa-exercise.txt		https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-022-02963-2
older_adults	older-digital-health-services-preferences	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-health-services-preferences.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-health-services-preferences.txt		https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-024-11564-1
older_adults	older-smartwatch-acceptance	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-smartwatch-acceptance.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-smartwatch-acceptance.txt	https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/58/ee/PMC10078487.tar.gz	https://pmc.ncbi.nlm.nih.gov/articles/PMC10078487/
older_adults	older-self-perception-public-services	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-self-perception-public-services.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-self-perception-public-services.txt		https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-024-21088-2
older_adults	older-migrants-internet-barriers	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-migrants-internet-barriers.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-migrants-internet-barriers.txt		https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-12874-x
older_adults	older-digital-divide-health-us	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-divide-health-us.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-divide-health-us.txt		https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-024-05612-y
older_adults	older-digital-exclusion-loneliness	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-exclusion-loneliness.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-exclusion-loneliness.txt		https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-025-06337-2
older_adults	older-digital-health-era	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-health-era.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-health-era.txt		https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-023-04437-5
older_adults	older-digital-exclusion-cognitive-impairment	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-exclusion-cognitive-impairment.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-exclusion-cognitive-impairment.txt		https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-024-05026-w
older_adults	older-health-purpose-qualitative	metadata_only		/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-health-purpose-qualitative.txt		https://www.sciencedirect.com/science/article/pii/S0197457225003337
older_adults	older-modes-relating-icts	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-modes-relating-icts.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-modes-relating-icts.txt	https://repositorio.iscte-iul.pt/bitstream/10071/26730/1/article_89371.pdf	https://repositorio.iscte-iul.pt/handle/10071/26730
older_adults	older-internet-use-wellbeing	metadata_only		/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-internet-use-wellbeing.txt		https://www.sciencedirect.com/science/article/pii/S0747563222003582
older_adults	older-nuanced-internet-use	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-nuanced-internet-use.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-nuanced-internet-use.txt	https://researchonline.lse.ac.uk/id/eprint/59995/1/Helsper_a_nuanced_understanding_of_Internet_use.pdf	https://eprints.lse.ac.uk/59995/
older_adults	older-digital-divide-grown-old	metadata_only		/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-digital-divide-grown-old.txt	https://journals.sagepub.com/doi/pdf/10.1177/1461444814538648	https://journals.sagepub.com/doi/10.1177/1461444814538648
older_adults	older-social-networking-obstacles	metadata_only		/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/older_adults/older-social-networking-obstacles.txt		https://www.sciencedirect.com/science/article/pii/S0747563212003330
general	rethinking-online-friction	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/rethinking-online-friction.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/rethinking-online-friction.txt		https://aisel.aisnet.org/jit/vol38/iss1/1/
general	digital-interface-design-power	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/digital-interface-design-power.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/digital-interface-design-power.txt		https://eprints.ncl.ac.uk/246964
general	politics-of-data-friction	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/politics-of-data-friction.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/politics-of-data-friction.txt		https://eprints.whiterose.ac.uk/id/eprint/120075/
general	science-friction	metadata_only		/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/science-friction.txt		https://pubmed.ncbi.nlm.nih.gov/22164720/
general	disciplining-change-frictions	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/disciplining-change-frictions.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/disciplining-change-frictions.txt		https://tecnoscienza.unibo.it/article/view/17326
general	data-visualisation-data-frictions	metadata_only		/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/data-visualisation-data-frictions.txt		https://dl.eusset.eu/items/fe007295-5919-4799-9819-a81387da3053
general	lightweight-misinformation-interventions	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/lightweight-misinformation-interventions.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/lightweight-misinformation-interventions.txt	https://arxiv.org/pdf/2101.11824.pdf	https://arxiv.org/abs/2101.11824
general	accuracy-prompts-misinformation	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/accuracy-prompts-misinformation.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/accuracy-prompts-misinformation.txt		https://www.nature.com/articles/s41467-022-30073-5
general	thinking-more-differently	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/thinking-more-differently.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/thinking-more-differently.txt	https://osf.io/download/sj8a9/	https://osf.io/preprints/psyarxiv/kf8md
general	friction-interventions-perspective	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/friction-interventions-perspective.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/friction-interventions-perspective.txt		https://www.nature.com/articles/s44260-025-00051-1
general	friction-interventions-arxiv	downloaded_pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/friction-interventions-arxiv.pdf	/Users/pifazuoren/Downloads/AgentSociety-main/papers/digital-friction-older-adults/general/friction-interventions-arxiv.txt	https://arxiv.org/pdf/2307.11498.pdf	https://arxiv.org/abs/2307.11498
